Country,Code,Continent_region,Year,Diet_low_in_whole_grains,Diet_low_in_fruits,Diet_low_in_nuts_and_seeds,Diet_low_in_Vegetables,Population,Total_Death_Rate,per/100k,Average_death_rate 
Afghanistan,AFG,Asia,2019,10335,4583,3269,5148,37769499,209370,554.3361854,61.78265695
Albania,ALB,Europe,2019,1520,217,379,51,2854191,28500,998.531633,75.9234403
Algeria,DZA,Africa,2019,14772,2648,5697,2741,42705368,248758,582.4982002,60.54976508
American Samoa,ASM,Oceania,2019,16,8,0,8,47321,440,929.8197418,67.62325395
Andorra,AND,Europe,2019,19,5,2,3,76343,461,603.8536605,37.98645586
Angola,AGO,Africa,2019,2013,1579,449,1325,32353588,105877,327.2496392,16.58548659
Antigua and Barbuda,ATG,North America,2019,26,6,4,8,92117,562,610.0936852,47.7653419
Argentina,ARG,South America,2019,11347,2134,5374,3085,44938712,279007,620.8611408,48.82204902
Armenia,ARM,Asia,2019,2446,319,1031,29,2820602,36622,1298.375311,135.6093486
Australia,AUS,Oceania,2019,5114,2457,826,1500,25340217,115179,454.5304407,39.05649269
Austria,AUT,Europe,2019,2985,662,504,799,8879920,74571,839.771079,55.74374544
Azerbaijan,AZE,Asia,2019,7060,1393,2056,156,10024283,105302,1050.469146,106.3916492
Bahrain,BHR,Asia,2019,259,31,40,14,1494188,5933,397.0718544,23.02253799
Bangladesh,BGD,Asia,2019,15559,29969,16094,22467,165516222,970115,586.1147556,50.80408372
Barbados,BRB,North America,2019,98,66,3,34,280180,2666,951.5311585,71.73959597
Belarus,BLR,Europe,2019,12391,3574,4509,1039,9419758,153255,1626.952624,228.3816633
Belgium,BEL,Europe,2019,3346,1316,437,572,11488980,86707,754.6971098,49.36034356
Belize,BLZ,North America,2019,48,3,1,25,389095,1612,414.2947095,19.78951156
Benin,BEN,Africa,2019,794,918,49,544,12290444,54239,441.3103383,18.7544079
Bermuda,BMU,North America,2019,25,10,4,6,63911,469,733.8329865,70.41041448
Bhutan,BTN,Asia,2019,105,84,50,65,767459,3938,513.1218736,39.61123656
Bolivia,BOL,South America,2019,1604,824,77,921,11777315,53929,457.9057281,29.08982226
Bosnia and Herzegovina,BIH,Europe,2019,1698,742,810,222,3360711,54412,1619.062157,103.3114719
Botswana,BWA,Africa,2019,318,421,199,222,2499702,15296,611.91294,46.40553154
Brazil,BRA,South America,2019,33250,11488,816,17701,211782878,1152449,544.1653314,29.86785362
Bulgaria,BGR,Europe,2019,7343,3361,2269,563,6975761,177175,2539.86626,194.0433452
Burkina Faso,BFA,Africa,2019,1869,2223,98,1487,20951639,116939,558.137719,27.09573222
Burundi,BDI,Africa,2019,955,317,471,797,11874838,55599,468.2084926,21.38976549
Cambodia,KHM,Asia,2019,1319,2836,166,2079,16207746,113008,697.2468596,39.48729206
Cameroon,CMR,Africa,2019,1989,1203,34,995,25782341,128405,498.034682,16.37167083
Canada,CAN,North America,2019,9228,3645,296,2251,37601230,212170,564.2634563,41.00929677
Central African Republic,CAF,Africa,2019,554,591,13,570,5209324,40797,783.153438,33.17129056
Chad,TCD,Africa,2019,1615,1363,165,1018,16126866,102015,632.5779603,25.80166537
Chile,CHL,South America,2019,3143,1389,984,639,19039485,98543,517.5717726,32.32755508
China,CHN,Asia,2019,383478,231120,86309,15706,1407745000,13409833,952.5754309,50.90502896
Colombia,COL,South America,2019,7112,2202,2834,3435,50187406,191401,381.3725698,31.04962229
Comoros,COM,Africa,2019,90,52,16,81,790986,3767,476.241046,30.21545261
Costa Rica,CRI,North America,2019,796,161,222,346,5084532,19431,382.159066,29.99292757
Cote d'Ivoire,CIV,Africa,2019,2084,1317,43,1383,26147551,111121,424.9767024,18.46061989
Croatia,HRV,Europe,2019,2642,795,822,675,4065253,63838,1570.332769,121.3700599
Cuba,CUB,North America,2019,4112,1113,324,1011,11316697,100247,885.8326771,57.96744403
Cyprus,CYP,Asia,2019,393,102,28,96,1228836,8293,674.8662962,50.37287319
Czechia,CZE,Europe,2019,5058,2469,1929,1823,10671870,133620,1252.076721,105.6890686
Denmark,DNK,Europe,2019,1774,504,369,366,5814422,43825,753.7292615,51.81942418
Djibouti,DJI,Africa,2019,127,139,55,72,1073994,4551,423.7453841,36.5923832
Dominica,DMA,North America,2019,29,1,1,6,71428,635,889.0071121,51.8004144
Dominican Republic,DOM,North America,2019,2789,269,116,1324,10881882,65898,605.5753959,41.33476176
Ecuador,ECU,South America,2019,2295,331,1111,1220,17343740,68009,392.1241901,28.58091738
El Salvador,SLV,North America,2019,1082,553,58,516,6280217,33639,535.6343579,35.17394383
Equatorial Guinea,GNQ,Africa,2019,69,34,1,56,1553031,3674,236.5696499,10.3024344
Eritrea,ERI,Africa,2019,485,555,152,494,3498818,28504,814.6751274,48.18770225
Estonia,EST,Europe,2019,789,302,364,188,1326898,16275,1226.544919,123.8226299
Eswatini,SWZ,Africa,2019,107,150,17,104,1169613,7449,636.8773261,32.31838223
Ethiopia,ETH,Africa,2019,6495,7703,3192,4871,114120594,347063,304.1195176,19.50655812
Fiji,FJI,Oceania,2019,416,353,14,166,918465,11174,1216.59508,103.3245687
Finland,FIN,Europe,2019,2617,1046,1038,861,5521606,48634,880.7944645,100.7315625
France,FRA,Europe,2019,18559,7900,3557,4676,67388001,402771,597.6894907,51.48097508
Gabon,GAB,Africa,2019,182,51,5,148,2242785,8831,393.7515188,17.21074468
Georgia,GEO,Asia,2019,3770,1462,1039,759,3720161,69032,1855.618614,188.9703161
Germany,DEU,Europe,2019,33593,12908,4569,9889,83092962,879851,1058.87548,73.36241065
Ghana,GHA,Africa,2019,3438,915,54,2126,31522290,145698,462.2062674,20.72501712
Greece,GRC,Europe,2019,7431,678,567,279,10721582,118223,1102.663767,83.52312187
Greenland,GRL,North America,2019,13,6,1,2,56225,391,695.4201867,39.12850156
Grenada,GRD,North America,2019,33,8,4,14,122724,787,641.27636,48.07535608
Guam,GUM,Oceania,2019,63,16,1,26,168624,1226,727.061391,62.86175159
Guatemala,GTM,North America,2019,1826,1145,371,862,16604026,72155,434.56328,25.31916055
Guinea,GIN,Africa,2019,989,653,39,833,12877539,68799,534.2558077,19.52236371
Guinea-Bissau,GNB,Africa,2019,158,172,5,176,1970457,10013,508.1562297,25.93307035
Guyana,GUY,South America,2019,216,164,10,112,798753,6902,864.0969111,62.84796426
Haiti,HTI,North America,2019,2417,1510,305,1874,11160438,85291,764.2262786,54.71111438
Honduras,HND,North America,2019,1224,747,699,793,9958829,48852,490.5396006,34.7731646
Hungary,HUN,Europe,2019,7228,2780,3327,1057,9771141,162490,1662.958297,147.2908845
Iceland,ISL,Europe,2019,88,33,23,29,360563,1598,443.1957799,47.98051935
India,IND,Asia,2019,258257,256232,164172,134007,1383112050,9986827,722.0548039,58.75648325
Indonesia,IDN,Asia,2019,38678,46157,1810,35542,269582878,1914553,710.190875,45.32446604
Iraq,IRQ,Asia,2019,11803,4485,6172,1040,41563520,250157,601.8667331,56.53996582
Ireland,IRL,Europe,2019,954,448,273,271,4934340,25504,516.8675041,39.43789848
Israel,ISR,Asia,2019,1869,184,37,40,9054000,37688,416.2580075,23.52551359
Italy,ITA,Europe,2019,32194,4228,5401,3935,59729081,558249,934.6351738,76.60924835
Jamaica,JAM,North America,2019,645,288,32,221,2813773,19347,687.5821184,42.14981095
Japan,JPN,Asia,2019,30877,19206,12031,3448,126633000,842925,665.6440264,51.77323446
Jordan,JOR,Asia,2019,2044,564,173,297,10698683,38837,363.0072973,28.76989626
Kazakhstan,KAZ,Asia,2019,9455,3450,2949,374,18513673,173146,935.2331112,87.65413541
Kenya,KEN,Africa,2019,2724,3079,1120,2155,50951450,175566,344.5750808,17.81696105
Kiribati,KIR,Oceania,2019,44,32,3,28,124241,1521,1224.233546,86.12293848
Kuwait,KWT,Asia,2019,619,173,127,25,4441100,13402,301.7720835,21.25599514
Latvia,LVA,Europe,2019,1847,817,650,381,1913822,30631,1600.514572,193.0691569
Lebanon,LBN,Asia,2019,3146,160,76,46,5781907,45273,783.0115566,59.28839741
Lesotho,LSO,Africa,2019,203,488,98,265,2225702,20029,899.8958531,47.35584548
Liberia,LBR,Africa,2019,356,334,96,306,4985289,19372,388.5832898,21.90444726
Libya,LBY,Africa,2019,2126,428,446,347,6569088,38115,580.2175279,50.95075603
Lithuania,LTU,Europe,2019,2665,983,1020,562,2794137,40225,1439.621608,187.1776509
Luxembourg,LUX,Europe,2019,126,51,60,33,620001,3398,548.0636322,43.54831686
Madagascar,MDG,Africa,2019,1772,2695,1086,2573,27533134,127057,461.4694426,29.51353086
Malawi,MWI,Africa,2019,836,1192,73,1146,18867337,72259,382.9846258,17.20963589
Malaysia,MYS,Asia,2019,6540,2790,83,3124,32804020,168244,512.8761658,38.21787696
Maldives,MDV,Asia,2019,65,32,14,22,504508,1377,272.9391803,26.36231735
Mali,MLI,Africa,2019,1437,1416,251,1187,20567424,102732,499.4889005,20.86308913
Malta,MLT,Europe,2019,242,57,27,20,504062,3614,716.9752927,68.64234955
Marshall Islands,MHL,Oceania,2019,20,14,2,13,44728,493,1102.21785,109.5510642
Mauritania,MRT,Africa,2019,423,391,243,262,4383849,15573,355.2357757,30.08771516
Mauritius,MUS,Africa,2019,414,372,49,130,1265985,13563,1071.339708,76.22523174
Mexico,MEX,North America,2019,15806,6737,6842,7605,125085311,691863,553.1129071,29.57181759
Moldova,MDA,Europe,2019,2642,1152,1479,779,2664224,49878,1872.13988,227.1580768
Monaco,MCO,Europe,2019,18,2,0,1,37034,385,1039.585246,56.70464978
Mongolia,MNG,Asia,2019,1301,1184,692,687,3232430,30623,947.3677698,119.5385515
Montenegro,MNE,Europe,2019,319,66,102,13,622028,10287,1653.784074,80.3822336
Morocco,MAR,Africa,2019,19647,1786,5133,1907,36304408,303235,835.2566994,78.42849276
Mozambique,MOZ,Africa,2019,2092,2985,303,2133,30285595,131532,434.3054842,24.80717318
Myanmar,MMR,Asia,2019,7526,12265,134,5895,53040212,488029,920.1113299,48.68004675
Namibia,NAM,Africa,2019,282,319,170,199,2446644,13500,551.776229,39.64614386
Nauru,NRU,Oceania,2019,3,2,0,2,12132,78,642.9277943,57.6986482
Nepal,NPL,Asia,2019,3640,3102,2606,2429,28832496,205541,712.8796619,40.8462729
Netherlands,NLD,Europe,2019,4443,1722,578,1328,17344874,114041,657.4910835,46.53247986
New Zealand,NZL,Oceania,2019,1306,406,145,341,4979200,24383,489.6971401,44.14363753
Nicaragua,NIC,North America,2019,814,709,280,578,6663924,30201,453.2014471,35.7296992
Niger,NER,Africa,2019,1341,1571,23,763,23443393,118426,505.1572526,15.77416716
Nigeria,NGA,Africa,2019,13981,9743,313,6637,203304492,912981,449.0707466,15.08771385
North Macedonia,MKD,Europe,2019,1401,398,142,51,2076694,37970,1828.386849,95.92169092
Northern Mariana Islands,MNP,Oceania,2019,15,6,0,8,49858,413,828.3525212,58.16518914
Norway,NOR,Europe,2019,1555,400,357,442,5347896,26992,504.721857,51.49688775
Oman,OMN,Asia,2019,713,78,336,127,4602768,14256,309.7266688,27.2444755
Pakistan,PAK,Asia,2019,54778,29182,17707,24682,223293280,1375527,616.0180906,56.58432712
Palau,PLW,Oceania,2019,10,5,0,5,17916,237,1322.83992,111.6320607
Panama,PAN,North America,2019,416,282,106,281,4232532,15185,358.7686992,25.6347737
Papua New Guinea,PNG,Oceania,2019,1875,1361,372,1013,9542486,66942,701.5153074,48.42553607
Paraguay,PRY,South America,2019,937,352,145,535,6530026,32784,502.0500684,30.1530193
Peru,PER,South America,2019,2988,1430,1196,1485,32824861,95593,291.2213398,21.62690042
Philippines,PHL,Asia,2019,15316,9379,1837,10317,110380804,661704,599.4737998,33.38352201
Poland,POL,Europe,2019,20129,8726,9126,1825,37965475,460603,1213.215428,104.8478914
Portugal,PRT,Europe,2019,3580,1148,782,387,10286263,85563,831.8181248,57.32888611
Puerto Rico,PRI,North America,2019,1170,321,42,494,3193694,28480,891.7573193,63.46882325
Qatar,QAT,Asia,2019,222,14,28,3,2807235,4788,170.559287,9.511138184
Romania,ROU,Europe,2019,12934,5119,6337,338,19371648,324945,1677.425689,127.6504715
Rwanda,RWA,Africa,2019,865,28,232,745,12835028,51184,398.7837035,14.56950464
Samoa,WSM,Oceania,2019,70,39,1,43,211905,1861,878.2237323,72.20216606
San Marino,SMR,Europe,2019,10,3,1,2,34178,215,629.059629,46.81373983
Sao Tome and Principe,STP,Africa,2019,28,7,1,18,214599,883,411.4651047,25.16321138
Saudi Arabia,SAU,Asia,2019,7131,2314,2546,1823,35827362,154143,430.2382073,38.55712291
Senegal,SEN,Africa,2019,1366,1435,54,851,16000781,67119,419.4732745,23.16136944
Serbia,SRB,Europe,2019,6362,1458,1786,1425,6945235,168706,2429.089872,158.828319
Seychelles,SYC,Africa,2019,20,11,3,13,97625,740,758.0025608,48.14340589
Sierra Leone,SLE,Africa,2019,678,715,15,558,8046828,41403,514.5257237,24.43198736
Singapore,SGP,Asia,2019,674,180,188,113,5703569,16423,287.9425146,20.25047825
Slovenia,SVN,Europe,2019,624,174,151,176,2088385,18849,902.5634641,53.86937753
Solomon Islands,SLB,Oceania,2019,284,209,62,232,674993,8419,1247.272194,116.5938017
Somalia,SOM,Africa,2019,1497,1933,115,1496,15981300,109541,685.4323491,31.54311602
South Africa,ZAF,Africa,2019,5243,8375,3773,3900,58087055,346018,595.6886608,36.65360552
South Sudan,SSD,Africa,2019,494,391,50,448,10447666,39825,381.185616,13.23740633
Spain,ESP,Europe,2019,12753,2332,1756,2142,47134837,319980,678.8609452,40.27382125
Sri Lanka,LKA,Asia,2019,4224,3857,121,2353,21803000,147936,678.5121314,48.41076916
Sudan,SDN,Africa,2019,11581,3394,4042,3107,43232093,220694,510.4865036,51.17494543
Suriname,SUR,South America,2019,126,74,6,75,600301,4240,706.3123333,46.80985039
Sweden,SWE,Europe,2019,4105,1225,702,1155,10278887,73216,712.2950179,69.9200215
Switzerland,CHE,Europe,2019,2680,795,313,715,8575280,53783,627.1865175,52.51140488
Tajikistan,TJK,Asia,2019,3512,1568,1605,230,9337003,58568,627.2676575,74.06016684
Tanzania,TZA,Africa,2019,2933,2949,77,3144,59872579,243035,405.9203797,15.20395505
Thailand,THA,Asia,2019,8064,4329,146,6467,71307763,430315,603.4616455,26.65347951
Togo,TGO,Africa,2019,699,896,19,630,8243094,37193,451.2019395,27.22278795
Tonga,TON,Oceania,2019,24,16,2,13,104951,735,700.3268192,52.40540824
Trinidad and Tobago,TTO,North America,2019,586,323,19,220,1519955,14279,939.435707,75.52855183
Tunisia,TUN,Africa,2019,5281,795,428,339,12049314,85516,709.7167523,56.79161486
Turkmenistan,TKM,Asia,2019,3032,748,1695,58,6158420,46117,748.8446712,89.8444731
Tuvalu,TUV,Oceania,2019,5,4,0,3,10956,124,1131.799927,109.5290252
Uganda,UGA,Africa,2019,1877,523,68,1970,42949080,136163,317.0335663,10.33316662
Ukraine,UKR,Europe,2019,66765,25488,29883,5983,44386203,856572,1929.815893,288.6460011
United Arab Emirates,ARE,Asia,2019,1470,323,26,293,9211657,34788,377.6519252,22.92747114
United Kingdom,GBR,Europe,2019,20849,10067,11140,5936,66836327,481831,720.9118478,71.80526243
United States,USA,North America,2019,102247,40172,11029,27977,328329953,2549358,776.4622072,55.25691407
Uruguay,URY,South America,2019,1183,396,401,407,3428409,25129,732.9638908,69.62413178
Uzbekistan,UZB,Asia,2019,20155,5139,9943,228,33580350,290223,864.2643689,105.6123596
Vanuatu,VUT,Oceania,2019,103,53,9,66,304404,2975,977.3196147,75.88599361
Vietnam,VNM,Asia,2019,11915,15136,769,6123,95776716,706638,737.7972742,35.43972003
Zambia,ZMB,Africa,2019,873,2056,71,1201,18380477,72280,393.243331,22.85577246
Zimbabwe,ZWE,Africa,2019,1475,1960,256,1382,15354608,81732,532.2962332,33.0389418
